"filename", "language", "JavaScript", "JSON", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\styles\GoTutorial.css", "CSS", 0, 0, 12, 0, 0, 5, 17
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\styles\OutputPanel.css", "CSS", 0, 0, 24, 0, 2, 5, 31
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\styles\Toolbar.css", "CSS", 0, 0, 54, 0, 2, 16, 72
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\views\CodeEditorView.js", "JavaScript", 40, 0, 0, 0, 7, 8, 55
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\views\ExampleView.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\views\LectureView.js", "JavaScript", 309, 0, 0, 0, 5, 104, 418
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\views\OutputPanelView.js", "JavaScript", 13, 0, 0, 0, 1, 4, 18
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\views\ProfessorView.js", "JavaScript", 10, 0, 0, 0, 0, 3, 13
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\views\QuestionView.js", "JavaScript", 73, 0, 0, 0, 0, 15, 88
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\views\ToolbarView.js", "JavaScript", 177, 0, 0, 0, 5, 68, 250
"Total", "-", 1498, 18045, 214, 20, 89, 524, 20390
